numero,probabilite_%
26,92.36
47,90.8
4,89.43
33,88.89
14,87.69
39,77.14
23,75.58
6,74.09
18,64.56
31,60.33
30,59.31
44,57.96
27,56.32
29,55.86
46,52.71
25,52.46
24,50.92
11,46.96
20,46.63
7,45.53
50,43.32
41,43.29
38,43.05
32,42.59
9,38.66
34,35.59
17,33.56
43,33.16
8,30.27
13,29.07
2,27.33
16,26.98
10,26.86
1,26.56
48,23.5
5,23.5
28,22.93
22,19.92
40,17.59
36,17.01
12,16.98
19,16.79
3,14.11
42,9.15
35,8.88
15,8.59
21,7.12
45,3.44
49,2.1
37,1.72
