numero,probabilite_%
26,56.94
47,39.43
33,31.71
23,27.69
31,26.54
39,20.43
32,19.7
29,19.48
25,18.81
6,18.22
4,18.05
44,16.79
18,15.09
11,11.95
27,11.75
50,11.53
46,11.08
34,9.98
17,9.97
43,9.41
14,9.22
20,9.04
24,9.04
13,8.28
40,7.92
48,7.48
30,6.98
41,6.16
38,5.82
2,5.62
9,5.57
1,5.04
12,4.76
16,4.53
7,4.37
35,4.36
19,3.89
28,3.88
3,3.65
36,3.46
5,2.77
15,2.69
10,2.68
21,1.74
8,1.62
22,1.56
42,1.21
37,1.2
49,0.88
45,0.25
