date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2,somme_boules,nb_pairs,nb_impairs
2020-05-05,2,27,22,10,41,3,2,102,3,2
2020-05-01,47,20,19,45,38,2,6,169,2,3
2020-04-28,32,28,26,15,23,1,5,124,3,2
2020-04-24,28,5,1,21,19,7,4,74,1,4
2020-04-21,11,10,23,14,28,6,8,86,3,2
2020-04-17,37,32,45,28,16,1,11,158,3,2
2020-04-14,40,34,29,6,35,11,4,144,3,2
2020-04-10,33,17,3,39,10,1,4,102,1,4
2020-04-07,33,14,4,48,5,7,12,104,3,2
2020-04-03,50,16,34,19,46,2,6,165,4,1
2020-03-31,30,12,17,24,36,9,1,119,4,1
2020-03-27,14,41,27,46,11,3,2,139,2,3
2020-03-24,33,12,7,26,30,11,10,108,3,2
2020-03-20,40,9,20,34,3,6,12,106,3,2
2020-03-17,5,7,16,8,20,12,2,56,3,2
2020-03-13,21,3,11,36,27,10,9,98,1,4
2020-03-10,23,43,30,11,37,5,12,144,1,4
2020-03-06,15,43,38,45,46,11,1,187,2,3
2020-03-03,27,44,4,14,45,10,1,134,3,2
2020-02-28,8,11,23,20,22,4,3,84,3,2
2020-02-25,4,42,18,27,1,6,4,92,3,2
2020-02-21,32,23,30,45,7,5,9,137,2,3
2020-02-18,34,32,11,38,47,10,2,162,3,2
2020-02-14,5,35,20,41,49,10,6,150,1,4
2020-02-11,43,26,24,32,46,6,10,171,4,1
2020-02-07,17,15,9,25,40,9,3,106,1,4
