date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2,somme_boules,nb_pairs,nb_impairs
2021-10-01,1,19,15,48,26,6,12,109,2,3
2021-09-28,12,7,6,33,39,7,1,97,2,3
2021-09-24,27,12,20,2,41,10,12,102,3,2
2021-09-21,20,25,26,30,38,8,2,139,4,1
2021-09-17,10,7,5,8,34,9,1,64,3,2
2021-09-14,12,38,45,18,35,2,8,148,3,2
2021-09-10,6,7,28,18,1,2,8,60,3,2
2021-09-07,42,7,19,35,43,7,9,146,1,4
2021-09-03,5,13,29,35,7,3,7,89,0,5
2021-08-31,17,5,32,13,43,2,10,110,1,4
2021-08-27,31,46,3,50,2,12,8,132,3,2
2021-08-24,21,36,44,19,50,3,10,170,3,2
2021-08-20,3,19,9,20,23,11,9,74,1,4
2021-08-17,47,12,41,42,31,6,4,173,2,3
2021-08-13,49,44,47,12,6,8,12,158,3,2
2021-08-10,47,9,48,49,37,2,7,190,1,4
2021-08-06,32,21,7,26,14,12,4,100,3,2
2021-08-03,46,23,45,21,17,7,11,152,1,4
2021-07-30,23,10,35,33,37,5,10,138,1,4
2021-07-27,19,21,25,5,9,12,10,79,0,5
2021-07-23,34,50,26,23,24,4,2,157,4,1
2021-07-20,19,48,3,41,12,6,9,123,2,3
2021-07-16,47,5,16,42,49,3,11,159,2,3
2021-07-13,22,11,6,8,5,3,4,52,3,2
2021-07-09,37,19,6,36,49,11,4,147,2,3
2021-07-06,2,42,5,27,21,9,11,97,2,3
2021-07-02,49,29,38,9,14,7,10,139,2,3
2021-06-29,6,12,24,20,48,6,5,110,5,0
2021-06-25,33,29,36,1,30,12,3,129,2,3
2021-06-22,27,24,26,6,41,8,3,124,3,2
2021-06-18,27,20,41,11,30,3,5,129,2,3
2021-06-15,30,31,11,26,21,2,3,119,2,3
2021-06-11,17,33,9,21,39,7,11,119,0,5
2021-06-08,47,26,2,36,11,9,7,122,3,2
2021-06-04,40,20,36,46,7,2,4,149,4,1
2021-06-01,35,10,44,3,26,7,6,118,3,2
2021-05-28,16,40,13,11,34,1,12,114,3,2
2021-05-25,38,21,26,1,30,8,2,116,3,2
2021-05-21,9,13,35,2,15,10,3,74,1,4
2021-05-18,13,39,40,38,5,4,12,135,2,3
2021-05-14,6,38,29,16,18,6,11,107,4,1
2021-05-11,14,46,43,34,25,6,5,162,3,2
2021-05-07,33,38,47,22,14,9,8,154,3,2
2021-05-04,46,13,10,28,3,11,4,100,3,2
2021-04-30,1,28,24,46,16,11,2,115,4,1
2021-04-27,13,49,14,24,35,1,10,135,2,3
2021-04-23,29,19,15,3,14,2,8,80,1,4
2021-04-20,28,46,17,5,41,11,10,137,2,3
2021-04-16,29,11,40,48,6,9,5,134,3,2
2021-04-13,47,16,31,50,20,8,2,164,3,2
2021-04-09,44,8,35,32,2,8,11,121,4,1
2021-04-06,50,21,37,38,2,8,7,148,3,2
2021-04-02,21,47,4,40,34,2,5,146,3,2
2021-03-30,42,24,29,28,27,8,4,150,3,2
2021-03-26,49,12,50,10,37,8,3,158,3,2
2021-03-23,2,26,29,36,49,3,9,142,3,2
2021-03-19,35,44,43,9,3,10,1,134,1,4
2021-03-16,32,25,23,47,35,2,6,162,1,4
2021-03-12,11,4,6,44,9,10,11,74,3,2
2021-03-09,16,21,33,32,1,11,12,103,2,3
2021-03-05,4,46,5,39,48,7,10,142,3,2
2021-03-02,24,49,19,26,2,6,7,120,3,2
2021-02-26,6,12,22,29,33,11,6,102,3,2
2021-02-23,30,9,39,18,45,3,1,141,2,3
2021-02-19,25,48,4,46,12,12,7,135,4,1
2021-02-16,30,25,29,9,5,6,7,98,1,4
2021-02-12,32,7,36,30,23,12,8,128,3,2
2021-02-09,24,5,31,10,37,9,10,107,2,3
2021-02-05,45,12,37,19,44,6,2,157,2,3
2021-02-02,38,18,48,20,35,9,12,159,4,1
2021-01-29,27,36,5,42,1,6,1,111,2,3
2021-01-26,7,37,25,40,5,2,8,114,1,4
2021-01-22,16,47,42,8,44,7,6,157,4,1
2021-01-19,25,35,31,27,43,5,6,161,0,5
2021-01-15,27,10,4,40,38,11,3,119,4,1
2021-01-12,10,34,2,35,18,6,9,99,4,1
2021-01-08,42,23,37,41,18,4,6,161,2,3
2021-01-05,37,42,12,34,38,3,1,163,4,1
2021-01-01,32,16,48,44,28,1,9,168,5,0
2020-12-29,7,40,39,45,32,8,3,163,2,3
2020-12-25,16,21,27,30,32,3,5,126,3,2
2020-12-22,42,10,50,2,16,11,4,120,5,0
2020-12-18,2,21,17,3,13,7,8,56,1,4
2020-12-15,21,9,35,13,29,2,1,107,0,5
2020-12-11,41,13,24,9,6,3,12,93,2,3
2020-12-08,1,46,21,4,24,2,12,96,3,2
2020-12-04,14,38,20,27,34,1,11,133,4,1
2020-12-01,29,49,20,14,47,12,4,159,2,3
2020-11-27,8,14,16,5,2,9,8,45,4,1
2020-11-24,50,33,38,42,25,12,8,188,3,2
2020-11-20,28,50,48,39,29,5,7,194,3,2
2020-11-17,30,25,44,19,16,6,2,134,3,2
2020-11-13,31,17,1,28,5,1,10,82,1,4
2020-11-10,19,3,38,32,29,12,5,121,2,3
2020-11-06,12,37,7,50,40,1,2,146,3,2
2020-11-03,5,7,18,20,30,7,6,80,3,2
2020-10-30,21,16,20,12,28,9,3,97,4,1
2020-10-27,13,15,28,44,32,12,3,132,3,2
2020-10-23,19,23,10,21,15,3,12,88,1,4
2020-10-20,15,5,42,37,6,4,3,105,2,3
2020-10-16,15,40,38,33,50,6,3,176,3,2
2020-10-13,5,41,46,38,14,10,1,144,3,2
2020-10-09,15,11,35,50,41,8,5,152,1,4
2020-10-06,41,36,4,21,47,11,9,149,2,3
2020-10-02,15,45,12,6,40,9,3,118,3,2
2020-09-29,16,14,4,44,41,11,12,119,4,1
2020-09-25,34,45,19,23,37,1,7,158,1,4
2020-09-22,28,39,25,40,16,1,6,148,3,2
2020-09-18,25,45,19,2,10,1,7,101,2,3
2020-09-15,38,25,30,16,20,8,6,129,4,1
2020-09-11,34,38,45,43,42,12,9,202,3,2
2020-09-08,9,35,2,41,31,12,9,118,1,4
2020-09-04,6,29,43,40,22,7,4,140,3,2
2020-09-01,46,8,4,33,10,8,11,101,4,1
2020-08-28,31,16,17,7,12,9,7,83,2,3
2020-08-25,18,37,39,30,7,10,8,131,2,3
2020-08-21,10,35,50,15,44,5,3,154,3,2
2020-08-18,12,34,42,17,6,12,5,111,4,1
